date,year,home_team,away_team,home_score,away_score,goal_diff,city,country,neutral,is_host_match,host_team,host_result,host_goal_diff
1930-07-13,1930,Belgium,United States,0,3,-3,Montevideo,Uruguay,True,False,,,
1930-07-13,1930,France,Mexico,4,1,3,Montevideo,Uruguay,True,False,,,
1930-07-14,1930,Brazil,Yugoslavia,1,2,-1,Montevideo,Uruguay,True,False,,,
1930-07-14,1930,Peru,Romania,1,3,-2,Montevideo,Uruguay,True,False,,,
1930-07-15,1930,Argentina,France,1,0,1,Montevideo,Uruguay,True,False,,,
1930-07-16,1930,Chile,Mexico,3,0,3,Montevideo,Uruguay,True,False,,,
1930-07-17,1930,Bolivia,Yugoslavia,0,4,-4,Montevideo,Uruguay,True,False,,,
1930-07-17,1930,Paraguay,United States,0,3,-3,Montevideo,Uruguay,True,False,,,
1930-07-18,1930,Uruguay,Peru,1,0,1,Montevideo,Uruguay,False,True,Uruguay,W,1.0
1930-07-19,1930,Argentina,Mexico,6,3,3,Montevideo,Uruguay,True,False,,,
1930-07-19,1930,Chile,France,1,0,1,Montevideo,Uruguay,True,False,,,
1930-07-20,1930,Belgium,Paraguay,0,1,-1,Montevideo,Uruguay,True,False,,,
1930-07-20,1930,Bolivia,Brazil,0,4,-4,Montevideo,Uruguay,True,False,,,
1930-07-21,1930,Uruguay,Romania,4,0,4,Montevideo,Uruguay,False,True,Uruguay,W,4.0
1930-07-22,1930,Argentina,Chile,3,1,2,Montevideo,Uruguay,True,False,,,
1930-07-26,1930,Argentina,United States,6,1,5,Montevideo,Uruguay,True,False,,,
1930-07-27,1930,Uruguay,Yugoslavia,6,1,5,Montevideo,Uruguay,False,True,Uruguay,W,5.0
1930-07-30,1930,Uruguay,Argentina,4,2,2,Montevideo,Uruguay,False,True,Uruguay,W,2.0
1934-05-27,1934,Argentina,Sweden,2,3,-1,Bologna,Italy,True,False,,,
1934-05-27,1934,Austria,France,3,2,1,Turin,Italy,True,False,,,
1934-05-27,1934,Belgium,Germany,2,5,-3,Florence,Italy,True,False,,,
1934-05-27,1934,Brazil,Spain,1,3,-2,Genoa,Italy,True,False,,,
1934-05-27,1934,Czechoslovakia,Romania,2,1,1,Trieste,Italy,True,False,,,
1934-05-27,1934,Egypt,Hungary,2,4,-2,Naples,Italy,True,False,,,
1934-05-27,1934,Italy,United States,7,1,6,Rome,Italy,False,True,Italy,W,6.0
1934-05-27,1934,Netherlands,Switzerland,2,3,-1,Milan,Italy,True,False,,,
1934-05-31,1934,Austria,Hungary,2,1,1,Bologna,Italy,True,False,,,
1934-05-31,1934,Czechoslovakia,Switzerland,3,2,1,Turin,Italy,True,False,,,
1934-05-31,1934,Germany,Sweden,2,1,1,Milan,Italy,True,False,,,
1934-05-31,1934,Italy,Spain,1,1,0,Florence,Italy,False,True,Italy,D,0.0
1934-06-01,1934,Italy,Spain,1,0,1,Florence,Italy,False,True,Italy,W,1.0
1934-06-03,1934,Czechoslovakia,Germany,3,1,2,Rome,Italy,True,False,,,
1934-06-03,1934,Italy,Austria,1,0,1,Milan,Italy,False,True,Italy,W,1.0
1934-06-07,1934,Austria,Germany,2,3,-1,Naples,Italy,True,False,,,
1934-06-10,1934,Italy,Czechoslovakia,2,1,1,Rome,Italy,False,True,Italy,W,1.0
1938-06-04,1938,Germany,Switzerland,1,1,0,Paris,France,True,False,,,
1938-06-05,1938,Brazil,Poland,6,5,1,Strasbourg,France,True,False,,,
1938-06-05,1938,Cuba,Romania,3,3,0,Toulouse,France,True,False,,,
1938-06-05,1938,Czechoslovakia,Netherlands,3,0,3,Le Havre,France,True,False,,,
1938-06-05,1938,France,Belgium,3,1,2,Colombes,France,False,True,France,W,2.0
1938-06-05,1938,Hungary,Indonesia,6,0,6,Reims,France,True,False,,,
1938-06-05,1938,Italy,Norway,2,1,1,Marseille,France,True,False,,,
1938-06-09,1938,Cuba,Romania,2,1,1,Toulouse,France,True,False,,,
1938-06-09,1938,Germany,Switzerland,2,4,-2,Paris,France,True,False,,,
1938-06-12,1938,Brazil,Czechoslovakia,1,1,0,Bordeaux,France,True,False,,,
1938-06-12,1938,Cuba,Sweden,0,8,-8,Antibes,France,True,False,,,
1938-06-12,1938,France,Italy,1,3,-2,Colombes,France,False,True,France,L,-2.0
1938-06-12,1938,Hungary,Switzerland,2,0,2,Lille,France,True,False,,,
1938-06-14,1938,Brazil,Czechoslovakia,2,1,1,Bordeaux,France,True,False,,,
1938-06-16,1938,Brazil,Italy,1,2,-1,Marseille,France,True,False,,,
1938-06-16,1938,Hungary,Sweden,5,1,4,Paris,France,True,False,,,
1938-06-19,1938,Brazil,Sweden,4,2,2,Bordeaux,France,True,False,,,
1938-06-19,1938,Hungary,Italy,2,4,-2,Colombes,France,True,False,,,
1950-06-24,1950,Brazil,Mexico,4,0,4,Rio de Janeiro,Brazil,False,True,Brazil,W,4.0
1950-06-25,1950,Chile,England,0,2,-2,Rio de Janeiro,Brazil,True,False,,,
1950-06-25,1950,Italy,Sweden,2,3,-1,São Paulo,Brazil,True,False,,,
1950-06-25,1950,Spain,United States,3,1,2,Curitiba,Brazil,True,False,,,
1950-06-25,1950,Switzerland,Yugoslavia,0,3,-3,Belo Horizonte,Brazil,True,False,,,
1950-06-28,1950,Brazil,Switzerland,2,2,0,São Paulo,Brazil,False,True,Brazil,D,0.0
1950-06-28,1950,Mexico,Yugoslavia,1,4,-3,Porto Alegre,Brazil,True,False,,,
1950-06-29,1950,Chile,Spain,0,2,-2,Rio de Janeiro,Brazil,True,False,,,
1950-06-29,1950,England,United States,0,1,-1,Belo Horizonte,Brazil,True,False,,,
1950-06-29,1950,Paraguay,Sweden,2,2,0,Curitiba,Brazil,True,False,,,
1950-07-01,1950,Brazil,Yugoslavia,2,0,2,Rio de Janeiro,Brazil,False,True,Brazil,W,2.0
1950-07-02,1950,Bolivia,Uruguay,0,8,-8,Belo Horizonte,Brazil,True,False,,,
1950-07-02,1950,Chile,United States,5,2,3,Recife,Brazil,True,False,,,
1950-07-02,1950,England,Spain,0,1,-1,Rio de Janeiro,Brazil,True,False,,,
1950-07-02,1950,Italy,Paraguay,2,0,2,São Paulo,Brazil,True,False,,,
1950-07-02,1950,Mexico,Switzerland,1,2,-1,Porto Alegre,Brazil,True,False,,,
1950-07-09,1950,Brazil,Sweden,7,1,6,Rio de Janeiro,Brazil,False,True,Brazil,W,6.0
1950-07-09,1950,Spain,Uruguay,2,2,0,São Paulo,Brazil,True,False,,,
1950-07-13,1950,Brazil,Spain,6,1,5,Rio de Janeiro,Brazil,False,True,Brazil,W,5.0
1950-07-13,1950,Sweden,Uruguay,2,3,-1,São Paulo,Brazil,True,False,,,
1950-07-16,1950,Brazil,Uruguay,1,2,-1,Rio de Janeiro,Brazil,False,True,Brazil,L,-1.0
1950-07-16,1950,Spain,Sweden,1,3,-2,São Paulo,Brazil,True,False,,,
1954-06-16,1954,Austria,Scotland,1,0,1,Zürich,Switzerland,True,False,,,
1954-06-16,1954,Brazil,Mexico,5,0,5,Geneva,Switzerland,True,False,,,
1954-06-16,1954,Czechoslovakia,Uruguay,0,2,-2,Berne,Switzerland,True,False,,,
1954-06-16,1954,France,Yugoslavia,0,1,-1,Lausanne,Switzerland,True,False,,,
1954-06-17,1954,Belgium,England,4,4,0,Basel,Switzerland,True,False,,,
1954-06-17,1954,Germany,Turkey,4,1,3,Berne,Switzerland,True,False,,,
1954-06-17,1954,Hungary,South Korea,9,0,9,Zürich,Switzerland,True,False,,,
1954-06-17,1954,Switzerland,Italy,2,1,1,Lausanne,Switzerland,False,True,Switzerland,W,1.0
1954-06-19,1954,Austria,Czechoslovakia,5,0,5,Zürich,Switzerland,True,False,,,
1954-06-19,1954,Brazil,Yugoslavia,1,1,0,Lausanne,Switzerland,True,False,,,
1954-06-19,1954,France,Mexico,3,2,1,Geneva,Switzerland,True,False,,,
1954-06-19,1954,Scotland,Uruguay,0,7,-7,Basel,Switzerland,True,False,,,
1954-06-20,1954,Belgium,Italy,1,4,-3,Lugano,Switzerland,True,False,,,
1954-06-20,1954,Germany,Hungary,3,8,-5,Basel,Switzerland,True,False,,,
1954-06-20,1954,South Korea,Turkey,0,7,-7,Geneva,Switzerland,True,False,,,
1954-06-20,1954,Switzerland,England,0,2,-2,Berne,Switzerland,False,True,Switzerland,L,-2.0
1954-06-23,1954,Germany,Turkey,7,2,5,Zürich,Switzerland,True,False,,,
1954-06-23,1954,Switzerland,Italy,4,1,3,Basel,Switzerland,False,True,Switzerland,W,3.0
1954-06-26,1954,England,Uruguay,2,4,-2,Basel,Switzerland,True,False,,,
1954-06-26,1954,Switzerland,Austria,5,7,-2,Lausanne,Switzerland,False,True,Switzerland,L,-2.0
1954-06-27,1954,Brazil,Hungary,2,4,-2,Berne,Switzerland,True,False,,,
1954-06-27,1954,Germany,Yugoslavia,2,0,2,Geneva,Switzerland,True,False,,,
1954-06-30,1954,Austria,Germany,1,6,-5,Basel,Switzerland,True,False,,,
1954-06-30,1954,Hungary,Uruguay,4,2,2,Lausanne,Switzerland,True,False,,,
1954-07-03,1954,Austria,Uruguay,3,1,2,Zürich,Switzerland,True,False,,,
1954-07-04,1954,Germany,Hungary,3,2,1,Berne,Switzerland,True,False,,,
1958-06-08,1958,Argentina,Germany,1,3,-2,Malmö,Sweden,True,False,,,
1958-06-08,1958,Austria,Brazil,0,3,-3,Uddevalla,Sweden,True,False,,,
1958-06-08,1958,Czechoslovakia,Northern Ireland,0,1,-1,Halmstad,Sweden,True,False,,,
1958-06-08,1958,England,Russia,2,2,0,Gothenburg,Sweden,True,False,,,
1958-06-08,1958,France,Paraguay,7,3,4,Norrköping,Sweden,True,False,,,
1958-06-08,1958,Hungary,Wales,1,1,0,Sandviken,Sweden,True,False,,,
1958-06-08,1958,Scotland,Yugoslavia,1,1,0,Västerås,Sweden,True,False,,,
1958-06-08,1958,Sweden,Mexico,3,0,3,Solna,Sweden,False,True,Sweden,W,3.0
1958-06-11,1958,Argentina,Northern Ireland,3,1,2,Halmstad,Sweden,True,False,,,
1958-06-11,1958,Austria,Russia,0,2,-2,Borås,Sweden,True,False,,,
1958-06-11,1958,Brazil,England,0,0,0,Gothenburg,Sweden,True,False,,,
1958-06-11,1958,Czechoslovakia,Germany,2,2,0,Helsingborg,Sweden,True,False,,,
1958-06-11,1958,France,Yugoslavia,2,3,-1,Västerås,Sweden,True,False,,,
1958-06-11,1958,Mexico,Wales,1,1,0,Solna,Sweden,True,False,,,
1958-06-11,1958,Paraguay,Scotland,3,2,1,Norrköping,Sweden,True,False,,,
1958-06-12,1958,Sweden,Hungary,2,1,1,Solna,Sweden,False,True,Sweden,W,1.0
1958-06-15,1958,Argentina,Czechoslovakia,1,6,-5,Helsingborg,Sweden,True,False,,,
1958-06-15,1958,Austria,England,2,2,0,Borås,Sweden,True,False,,,
1958-06-15,1958,Brazil,Russia,2,0,2,Gothenburg,Sweden,True,False,,,
1958-06-15,1958,France,Scotland,2,1,1,Örebro,Sweden,True,False,,,
1958-06-15,1958,Germany,Northern Ireland,2,2,0,Malmö,Sweden,True,False,,,
1958-06-15,1958,Hungary,Mexico,4,0,4,Sandviken,Sweden,True,False,,,
1958-06-15,1958,Paraguay,Yugoslavia,3,3,0,Eskilstuna,Sweden,True,False,,,
1958-06-15,1958,Sweden,Wales,0,0,0,Solna,Sweden,False,True,Sweden,D,0.0
1958-06-17,1958,Czechoslovakia,Northern Ireland,1,2,-1,Malmö,Sweden,True,False,,,
1958-06-17,1958,England,Russia,0,1,-1,Gothenburg,Sweden,True,False,,,
1958-06-17,1958,Hungary,Wales,1,2,-1,Solna,Sweden,True,False,,,
1958-06-19,1958,Brazil,Wales,1,0,1,Gothenburg,Sweden,True,False,,,
1958-06-19,1958,France,Northern Ireland,4,0,4,Norrköping,Sweden,True,False,,,
1958-06-19,1958,Germany,Yugoslavia,1,0,1,Malmö,Sweden,True,False,,,
1958-06-19,1958,Sweden,Russia,2,0,2,Solna,Sweden,False,True,Sweden,W,2.0
1958-06-24,1958,Brazil,France,5,2,3,Solna,Sweden,True,False,,,
1958-06-24,1958,Sweden,Germany,3,1,2,Gothenburg,Sweden,False,True,Sweden,W,2.0
1958-06-28,1958,France,Germany,6,3,3,Gothenburg,Sweden,True,False,,,
1958-06-29,1958,Sweden,Brazil,2,5,-3,Solna,Sweden,False,True,Sweden,L,-3.0
1962-05-30,1962,Argentina,Bulgaria,1,0,1,Rancagua,Chile,True,False,,,
1962-05-30,1962,Brazil,Mexico,2,0,2,Viña del Mar,Chile,True,False,,,
1962-05-30,1962,Chile,Switzerland,3,1,2,Santiago,Chile,False,True,Chile,W,2.0
1962-05-30,1962,Colombia,Uruguay,1,2,-1,Arica,Chile,True,False,,,
1962-05-31,1962,Czechoslovakia,Spain,1,0,1,Viña del Mar,Chile,True,False,,,
1962-05-31,1962,England,Hungary,1,2,-1,Rancagua,Chile,True,False,,,
1962-05-31,1962,Germany,Italy,0,0,0,Santiago,Chile,True,False,,,
