wc_year,host,year,years_from_wc,elo_rating,elo_rank
1930,Uruguay,1925,-5,1972.0,4
1930,Uruguay,1926,-4,2038.0,1
1930,Uruguay,1927,-3,2018.0,1
1930,Uruguay,1928,-2,2056.0,1
1930,Uruguay,1929,-1,1963.0,3
1930,Uruguay,1930,0,2037.0,2
1930,Uruguay,1931,1,2011.0,2
1930,Uruguay,1932,2,1988.0,4
1930,Uruguay,1933,3,1975.0,5
1930,Uruguay,1934,4,1967.0,5
1930,Uruguay,1935,5,2010.0,2
1934,Italy,1929,-5,1927.0,6
1934,Italy,1930,-4,1965.0,5
1934,Italy,1931,-3,1986.0,5
1934,Italy,1932,-2,1959.0,5
1934,Italy,1933,-1,2012.0,2
1934,Italy,1934,0,2043.0,1
1934,Italy,1935,1,2037.0,1
1934,Italy,1936,2,2070.0,1
1934,Italy,1937,3,2047.0,2
1934,Italy,1938,4,2124.0,1
1934,Italy,1939,5,2080.0,1
1938,France,1933,-5,1594.0,33
1938,France,1934,-4,1624.0,29
1938,France,1935,-3,1646.0,28
1938,France,1936,-2,1631.0,30
1938,France,1937,-1,1618.0,30
1938,France,1938,0,1639.0,29
1938,France,1939,1,1682.0,26
1938,France,1940,2,1688.0,23
1938,France,1941,3,1688.0,22
1938,France,1942,4,1667.0,26
1938,France,1943,5,1667.0,26
1950,Brazil,1945,-5,1997.0,4
1950,Brazil,1946,-4,1977.0,3
1950,Brazil,1947,-3,1981.0,4
1950,Brazil,1948,-2,1953.0,5
1950,Brazil,1949,-1,1986.0,4
1950,Brazil,1950,0,2014.0,2
1950,Brazil,1951,1,2014.0,2
1950,Brazil,1952,2,2058.0,3
1950,Brazil,1953,3,1971.0,4
1950,Brazil,1954,4,2011.0,4
1950,Brazil,1955,5,2000.0,3
1954,Switzerland,1949,-5,1723.0,21
1954,Switzerland,1950,-4,1752.0,16
1954,Switzerland,1951,-3,1718.0,23
1954,Switzerland,1952,-2,1699.0,23
1954,Switzerland,1953,-1,1669.0,27
1954,Switzerland,1954,0,1721.0,20
1954,Switzerland,1955,1,1676.0,26
1954,Switzerland,1956,2,1673.0,31
1954,Switzerland,1957,3,1626.0,39
1954,Switzerland,1958,4,1595.0,45
1954,Switzerland,1959,5,1571.0,51
1958,Sweden,1953,-5,1806.0,13
1958,Sweden,1954,-4,1826.0,12
1958,Sweden,1955,-3,1791.0,15
1958,Sweden,1956,-2,1773.0,19
1958,Sweden,1957,-1,1797.0,17
1958,Sweden,1958,0,1900.0,8
1958,Sweden,1959,1,1917.0,7
1958,Sweden,1960,2,1907.0,10
1958,Sweden,1961,3,1874.0,12
1958,Sweden,1962,4,1872.0,12
1958,Sweden,1963,5,1900.0,10
1962,Chile,1957,-5,1671.0,33
1962,Chile,1958,-4,1671.0,35
1962,Chile,1959,-3,1735.0,27
1962,Chile,1960,-2,1700.0,29
1962,Chile,1961,-1,1740.0,23
1962,Chile,1962,0,1826.0,17
1962,Chile,1963,1,1814.0,16
1962,Chile,1964,2,1808.0,18
1962,Chile,1965,3,1773.0,23
1962,Chile,1966,4,1725.0,29
1962,Chile,1967,5,1760.0,22
1966,England,1961,-5,1918.0,9
1966,England,1962,-4,1927.0,8
1966,England,1963,-3,1944.0,3
1966,England,1964,-2,1915.0,7
1966,England,1965,-1,1944.0,5
1966,England,1966,0,2088.0,1
1966,England,1967,1,2073.0,1
1966,England,1968,2,2058.0,1
